post_id,text,sentiment_gold,tickers_gold,ambiguity_score,notes
synthetic_0291,VWAP reclaim on $CRM. This is headed to $853. ⬆️,bullish,['CRM'],2,Clear bullish - technical bull
synthetic_0030,fwiw QQQ management is executing flawlessly. Patient longs will be rewarded.,bullish,['QQQ'],2,Clear bullish - subtle bull
synthetic_0439,Accumulation/distribution line on $PLTR is screaming buy. 📈,bullish,['PLTR'],1,Clear bullish - technical bull
synthetic_0528,fr Did a deep dive on $HOOD competitive position. It's stronger than the market thinks.,bullish,['HOOD'],1,Clear bullish - subtle bull
synthetic_0419,$WISH margin expansion this quarter is going to surprise everyone. Very bullish.,bullish,['WISH'],2,Clear bullish - earnings optimism
synthetic_0008,fwiw Red day = buying day. Picked up more $PLTR at $162. also watching GOOG,bullish,"['PLTR', 'GOOG']",1,Clear bullish - dip buyer
synthetic_0172,Channel checks for $BB are the strongest I've seen in years. Buying more before the print. ⬆️ 🌙,bullish,['BB'],2,Clear bullish - earnings optimism
synthetic_0214,$GOOG is having a bad day so Im having a great shopping day.,bullish,['GOOG'],2,Clear bullish - dip buyer
synthetic_0151,fwiw The PLTR dip is a gift. Not going to be at these levels for long. 📈 ⬆️ 💰 INSANE,bullish,['PLTR'],2,Clear bullish - dip buyer
synthetic_0411,"ngl Averaging down on $AAPL at $306. Lower my cost basis, raise my conviction. 🐂",bullish,['AAPL'],1,Clear bullish - dip buyer
synthetic_0458,NFLX breaking out of the wedge pattern. Bullish. bruh also watching NIO,bullish,"['NFLX', 'NIO']",2,Clear bullish - technical bull
synthetic_0065,When $NFLX drops 29% I just smile and buy more. 🌙 🐂,bullish,['NFLX'],1,Clear bullish - dip buyer
synthetic_0373,If you're not buying CRM at these prices you hate money. fr 💰 🐂 HUGE,bullish,['CRM'],1,Clear bullish - conviction buy
synthetic_0190,Slowly building my $SOFI position. No rush. This is a multi year play. ⬆️ STRONG,bullish,['SOFI'],1,Clear bullish - subtle bull
synthetic_0494,Taking profits on everything. Something feels off.,bearish,[],2,Clear bearish - subtle bear
synthetic_0404,Not adding to GME here. Going to wait for a better entry or confirmation.,bearish,['GME'],2,Clear bearish - subtle bear
synthetic_0507,Something is different about this SOFI rally. Volume is weak. Sellers lurking. idk 💀 🔻,bearish,['SOFI'],1,Clear bearish - subtle bear
synthetic_0521,$AMC puts are cheap right now. Loading the $135p for March.,bearish,['AMC'],1,Clear bearish - put buyer
synthetic_0493,Protective puts on $SPY. Small insurance premium for peace of mind.,bearish,['SPY'],1,Clear bearish - subtle bear
synthetic_0072,$NFLX at 15x earnings in this macro environment? Short all day.,bearish,['NFLX'],2,Clear bearish - short seller
synthetic_0001,Bought NVDA puts at the top. This reversal is textbook. also watching $AMZN,bearish,"['AMZN', 'NVDA']",1,Clear bearish - put buyer
synthetic_0284,Geopolitical risk is way too high. Hedging my QQQ position with puts.,bearish,['QQQ'],2,Clear bearish - macro bear
synthetic_0090,AMC is a value trap. Cheap for a reason. Sold everything. ⬇️ ⬇️ INSANE,bearish,['AMC'],1,Clear bearish - warning post
synthetic_0097,Bond market is telling you something. 10Y at 5%. Stocks are dead money.,bearish,[],2,Clear bearish - macro bear
synthetic_0079,ngl Bear put spread on SOFI. $263/445p. Risk reward is incredible. 😱 💀,bearish,['SOFI'],1,Clear bearish - put buyer
synthetic_0543,NVDA puts are cheap right now. Loading the $52p for March.,bearish,['NVDA'],2,Clear bearish - put buyer
synthetic_0116,Bought NFLX weekly $330p. Either I'm right or I lose the premium. also watching $AMZN,bearish,"['AMZN', 'NFLX']",1,Clear bearish - put buyer
synthetic_0165,Cutting my losses on SPY. Down 47% and not waiting to see if it gets worse.,bearish,['SPY'],1,Clear bearish - warning post
synthetic_0228,$PLTR revenue is declining while the stock goes up. How does that make sense. 🔻 also watching AMZN,bearish,"['PLTR', 'AMZN']",1,Clear bearish - fundamental bear
synthetic_0456,Accounting red flags in $AMD latest filing. Something doesnt add up. HUGE,bearish,['AMD'],2,Clear bearish - fundamental bear
synthetic_0550,Margin debt at record highs. When the margin calls come $MSFT goes down fast. bruh,bearish,['MSFT'],1,Clear bearish - macro bear
synthetic_0208,Taking profits on everything. Something feels off.,bearish,[],2,Clear bearish - subtle bear
synthetic_0027,lmao $AAPL short interest is rising for a reason. Smart money is betting against this. also watching ABNB,bearish,"['AAPL', 'ABNB']",2,Clear bearish - short seller
synthetic_0227,Shorting $GME into earnings. Street estimates are way too high. 🩸,bearish,['GME'],2,Clear bearish - short seller
synthetic_0361,The euphoria in $BB reminds me of 2021. Tread carefully. 📉 🔻,bearish,['BB'],2,Clear bearish - subtle bear
synthetic_0442,Not adding to $SPY here. Going to wait for a better entry or confirmation. ABSOLUTELY,bearish,['SPY'],1,Clear bearish - subtle bear
synthetic_0351,Warning: $AMD is about to fall off a cliff. Take your profits. lmao also watching $BAC,bearish,"['AMD', 'BAC']",1,Clear bearish - warning post
synthetic_0022,PLTR put options are the best risk reward trade out there right now.,bearish,['PLTR'],2,Clear bearish - put buyer
synthetic_0098,I lost money on NFLX so you don't have to. SELL.,bearish,['NFLX'],1,Clear bearish - warning post
synthetic_0555,fwiw Guide to reading level 2 data on NFLX. What the order book tells you. also watching GOOG,neutral,"['NFLX', 'GOOG']",2,Clear neutral - educational
synthetic_0541,$CRM capex as percentage of revenue is 76%. Higher than AMD at 64%. MASSIVE,neutral,"['CRM', 'AMD']",1,Clear neutral - analysis
synthetic_0370,Fed minutes released. No change to current rate policy. Markets unchanged. HUGE,neutral,[],2,Clear neutral - news sharing
synthetic_0289,"$HOOD reports Q3 revenue of $312B, beating estimates by 21%.",neutral,['HOOD'],1,Clear neutral - news sharing
synthetic_0383,Earnings quality: $SOFI vs PYPL. One has cleaner accounting. 🍔,neutral,"['SOFI', 'PYPL']",2,Clear neutral - comparative
synthetic_0131,EV sector: $META vs ABNB vs HOOD. Who wins long term?,neutral,"['META', 'ABNB', 'HOOD']",1,Clear neutral - comparative
synthetic_0113,What's everyone's year to date performance? No judgement zone. lol,neutral,[],1,Clear neutral - discussion starter
synthetic_0136,Mapping $PLTR revenue segments. Their cloud division is now 43% of total revenue. ngl,neutral,['PLTR'],2,Clear neutral - analysis
synthetic_0354,Which FAANG stock is the best value right now? $AAPL or META?,neutral,"['AAPL', 'META']",1,Clear neutral - comparative
synthetic_0490,Insider transaction analysis for $PLTR: net buying over the last 90 days. LITERALLY,neutral,['PLTR'],1,Clear neutral - analysis
synthetic_0375,Anyone else watching AAPL closely this week? NEVER,neutral,['AAPL'],2,Clear neutral - question
synthetic_0301,Bull market or bear market rally? Trying to get a read on sentiment here. fr,neutral,[],1,Clear neutral - discussion starter
synthetic_0067,"How to read a $GOOG earnings report. Revenue, EPS, and guidance are the key numbers.",neutral,['GOOG'],2,Clear neutral - educational
synthetic_0338,What's a realistic price target for $BB in 12 months? INCREDIBLE,neutral,['BB'],2,Clear neutral - question
synthetic_0028,Is $NFLX worth buying at $273 or should I wait for a pullback? 🙌 HUGE,neutral,['NFLX'],1,Clear neutral - question
synthetic_0343,Any interesting earnings surprises so far this season? 🔻 😱 🐻,neutral,[],1,Clear neutral - discussion starter
synthetic_0453,Cybersecurity: GOOG vs PLTR. Growth rates are comparable but valuations differ.,neutral,"['GOOG', 'PLTR']",1,Clear neutral - comparative
synthetic_0522,lmao ELI5 why GOOG trades at a higher multiple than NFLX?,neutral,"['GOOG', 'NFLX']",1,Clear neutral - question
synthetic_0446,TSLA revenue guidance for next quarter: $508B to $93B. 🫠 💀 🙌,neutral,['TSLA'],1,Clear neutral - news sharing
synthetic_0248,Fed minutes released. No change to current rate policy. Markets unchanged.,neutral,[],1,Clear neutral - news sharing
synthetic_0345,NFLX institutional ownership at 6%. Top holders are Vanguard and BlackRock.,neutral,['NFLX'],2,Clear neutral - analysis
synthetic_0094,TSLA and NIO both report this week. Which has the better risk reward into earnings?,neutral,"['TSLA', 'NIO']",2,Clear neutral - comparative
synthetic_0368,Inverse Cramer says buy AMD. So I'm going all in obviously.,meme,['AMD'],2,Clear meme - ironic
synthetic_0118,My gains are transitory. 🍔 🙌 🎰,meme,[],1,Clear meme - cultural
synthetic_0475,Not financial advice but also not not financial advice. fr,meme,[],2,Clear meme - cultural
synthetic_0549,If you want to make money just inverse every trade I make on $WISH.,meme,['WISH'],1,Clear meme - self deprecating
synthetic_0045,If losing money on SOFI was a sport I'd be olympic gold medalist. 42%,meme,['SOFI'],1,Clear meme - loss porn
synthetic_0060,Alexa play Despacito. My SOFI position needs a funeral song.,meme,['SOFI'],2,Clear meme - cultural
synthetic_0230,Step 1: Buy AMD. Step 2: ??? Step 3: Profit. We're stuck on step 2.,meme,['AMD'],1,Clear meme - ironic
synthetic_0449,Congratulations $NVDA you've officially blown up my account. 🦍,meme,['NVDA'],2,Clear meme - loss porn
synthetic_0280,My portfolio is a meme and I'm okay with that. 🦍 10x P/E,meme,[],1,Clear meme - cultural
synthetic_0545,Just discovered options on AAPL. What could possibly go wrong.,meme,['AAPL'],1,Clear meme - ironic
synthetic_0144,To all the CRM shorts: see you on the moon ⬆️,meme,['CRM'],1,Clear meme - cultural
